repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-io,843494daa452ef9ceba14ca1ad34cb505d4ca8d3,99c99b6e78383748b24e74fa72d69aea7126ec9f,master,1640048935,0,0,0,0,0,0,0,0,0,0,0,0,0,5154,5154,5154,5154,5881,5881,0,0,1,0,0,0,2,0,2,0,8,5,
apache/commons-io,99c99b6e78383748b24e74fa72d69aea7126ec9f,be834471b11a98b42002cc129fc2c07e6a91b95c,master,1639100218,0,0,0,0,0,0,0,0,0,9,0,0,0,5154,5163,5154,5163,5881,5881,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-io,be834471b11a98b42002cc129fc2c07e6a91b95c,a8ae408b28dcd867af6b531cf73925458abdde52,master,1638849679,1,0,0,0,1,0,0,0,0,0,0,0,0,5162,5164,5163,5163,5881,5880,0,0,1,0,0,0,1,0,1,0,1,1,
apache/commons-io,a8ae408b28dcd867af6b531cf73925458abdde52,a15f294c3a0fce84ba37101b1199a330ebc3d70c,master,1638848083,0,0,0,0,0,0,0,0,12,0,0,0,0,5151,5163,5163,5151,5881,5881,0,0,1,0,0,0,1,0,1,0,1,1,
apache/commons-io,a15f294c3a0fce84ba37101b1199a330ebc3d70c,078ca89559f18f08b78240e6b847391a1fcf28fe,master,1638847297,0,0,0,0,0,0,0,0,0,3,0,0,0,5151,5154,5151,5154,5881,5881,0,0,1,0,0,0,1,0,1,0,1,1,
apache/commons-io,078ca89559f18f08b78240e6b847391a1fcf28fe,c53cab56e5f078e2500970a01bdf1c7bf350fdaa,master,1638847130,3,0,0,0,3,0,0,0,0,0,0,0,0,5151,5157,5154,5154,5881,5878,0,0,5,0,0,0,15,0,5,0,27,14,
apache/commons-io,c53cab56e5f078e2500970a01bdf1c7bf350fdaa,121aa64f1ba8b3eda93af4c3770168cb4470656f,master,1637594290,0,0,0,0,0,0,0,0,0,9,0,0,0,5154,5163,5154,5163,5881,5881,0,0,0,0,0,0,0,0,0,0,4,4,
apache/commons-io,121aa64f1ba8b3eda93af4c3770168cb4470656f,5300267aa9d13ec0f800b221e3086e835be697be,master,1637555754,1,0,0,0,1,0,0,0,0,0,0,0,0,5162,5164,5163,5163,5881,5880,0,1,3,7,0,0,256,360,145,346,623,492,
apache/commons-io,5300267aa9d13ec0f800b221e3086e835be697be,d790873fdd9f8c39475812d5ade94d08675ed722,master,1636719667,0,0,0,0,0,0,0,0,9,0,0,0,0,5154,5163,5163,5154,5881,5881,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-io,d790873fdd9f8c39475812d5ade94d08675ed722,e32e93982dbffe726652f8bde8352e096ae263f5,master,1636304418,2,0,0,0,2,0,0,0,2,0,0,0,0,5150,5156,5154,5152,5881,5879,0,0,1,1,0,0,3,1,3,1,4,4,
apache/commons-io,e32e93982dbffe726652f8bde8352e096ae263f5,5463aca963efb2c3a6da018df0941e82bff1a824,master,1636299839,0,0,0,0,0,0,0,0,0,11,0,0,0,5152,5163,5152,5163,5881,5881,0,0,0,1,0,0,0,1,0,1,1,1,
apache/commons-io,5463aca963efb2c3a6da018df0941e82bff1a824,f126b022a8e15632cf4151d334dc77b9e63b4496,master,1636299386,0,0,0,0,0,0,0,0,9,0,0,0,0,5154,5163,5163,5154,5881,5881,0,0,0,1,0,0,0,3,0,2,3,2,
apache/commons-io,f126b022a8e15632cf4151d334dc77b9e63b4496,c525935dec0f4e66ed264adadbe1530de66659c9,master,1636254182,0,0,0,0,0,0,0,0,3,9,0,0,0,5151,5163,5154,5160,5881,5881,0,0,0,1,0,0,0,1,0,1,1,1,
apache/commons-io,c525935dec0f4e66ed264adadbe1530de66659c9,2c9a10d864d2208b8bd23e5fb5a1c520c1520be9,master,1636231225,0,0,0,0,0,0,1155,105,9,3,0,0,0,5151,5163,5160,5154,5881,5881,1,0,4,0,0,0,134,0,181,0,137,181,
apache/commons-io,2c9a10d864d2208b8bd23e5fb5a1c520c1520be9,5b4b0380528000f7c019f71ef1e144ab2bca5a8b,master,1636223664,0,0,0,0,0,0,0,0,0,9,0,0,0,6309,6318,6309,6318,7141,7141,1,1,0,0,0,0,63,48,0,0,114,0,
apache/commons-io,5b4b0380528000f7c019f71ef1e144ab2bca5a8b,d3b043a2ce926509fe4ed04160db7a73339a2964,master,1636221186,0,0,0,0,0,0,0,0,11,0,0,0,0,6307,6318,6318,6307,7141,7141,0,0,0,1,0,0,0,1,0,1,1,1,
apache/commons-io,d3b043a2ce926509fe4ed04160db7a73339a2964,03ebf60ce026b22c3874ad77a912df03dddff0d6,master,1636205758,29,0,0,0,38,1,0,0,1,3,0,0,0,6277,6348,6307,6318,7141,7112,0,0,3,1,0,0,46,12,66,1,61,67,
apache/commons-io,03ebf60ce026b22c3874ad77a912df03dddff0d6,49b13ef698bf15e57bdff66c5f67887e8e0eb865,master,1636204546,0,0,0,0,0,0,0,0,1,0,0,0,0,6317,6318,6318,6317,7150,7150,0,0,0,1,0,0,0,0,0,1,0,1,
apache/commons-io,49b13ef698bf15e57bdff66c5f67887e8e0eb865,1ed363e2f8d30dcfa46ad212362ac7e30a2bb4e2,master,1636202469,3,0,0,0,2,0,0,0,2,0,0,0,0,6312,6319,6317,6314,7150,7147,0,0,1,1,0,0,6,9,2,0,18,2,
apache/commons-io,1ed363e2f8d30dcfa46ad212362ac7e30a2bb4e2,3f97206b8878c028c64c5edd798d3cbf0e49d1a4,master,1636199709,0,0,0,0,0,0,0,0,0,0,0,0,0,6314,6314,6314,6314,7149,7149,0,0,1,0,0,0,1,0,1,0,1,1,
apache/commons-io,3f97206b8878c028c64c5edd798d3cbf0e49d1a4,9641f7eb5076d9180763a6eb0a93a85d4f9b0fe7,master,1636198624,0,0,0,0,0,0,0,0,0,1,0,0,0,6314,6315,6314,6315,7149,7149,0,0,0,0,0,0,0,0,0,0,3,0,
apache/commons-io,9641f7eb5076d9180763a6eb0a93a85d4f9b0fe7,bc80b9ae48bc4e74781ef485e389f08fa5b788f1,master,1636198414,3,0,0,0,16,1,0,0,1,3,0,0,0,6311,6337,6315,6333,7149,7150,0,0,1,0,0,0,4,0,88,0,4,88,
