repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
apache/commons-math,97191fc73cda17794ac44cf2fcae629695001999,3c1c92d3eb6c13db92ea6123f8ad0d2383117f66,master,1660956277,2,0,0,0,0,0,0,0,1,1,0,0,0,30337,30341,30340,30338,33498,33496,0,0,1,1,0,0,6,10,1,0,19,1,
apache/commons-math,3c1c92d3eb6c13db92ea6123f8ad0d2383117f66,1119bdbdefd0f6decb2211fd00cd3480b7e9dc13,master,1660318495,0,0,0,0,0,0,0,0,4,1,0,0,0,30334,30339,30338,30335,33496,33496,0,0,2,0,0,0,8,0,19,0,8,19,
apache/commons-math,1119bdbdefd0f6decb2211fd00cd3480b7e9dc13,4ef2d3b8c2d4acdc56dd2e64e12b8d58002ffe9a,master,1658935732,87,0,0,0,7,0,0,0,2,1,0,0,0,30246,30346,30335,30257,33496,33410,0,0,2,1,0,0,297,236,11,4,538,17,
apache/commons-math,4ef2d3b8c2d4acdc56dd2e64e12b8d58002ffe9a,f94991f224f01ba25c0677bf09e3f6e5861acd47,master,1658755103,0,0,0,0,0,0,0,0,1,3,0,0,0,30256,30260,30257,30259,33417,33417,0,0,0,0,0,0,0,0,0,0,5,3,
apache/commons-math,f94991f224f01ba25c0677bf09e3f6e5861acd47,0bf33a4fc13474835414a24c80d50cc7710eaf49,master,1658321280,0,0,0,0,0,0,0,0,3,1,0,0,0,30256,30260,30259,30257,33417,33417,0,0,3,0,0,0,71,0,112,0,71,112,
apache/commons-math,0bf33a4fc13474835414a24c80d50cc7710eaf49,e85dd59990a3b47793f5a26ac27e88a9f5ee9e53,master,1657902513,2,0,0,0,2,0,0,0,1,3,0,0,0,30254,30262,30257,30259,33417,33415,0,0,1,0,0,0,3,0,2,0,7,16,
apache/commons-math,e85dd59990a3b47793f5a26ac27e88a9f5ee9e53,294589d7b478fe388b9a1c2e28aa37c02cb6fe18,master,1655125871,0,0,0,0,0,0,0,0,0,0,0,0,0,30259,30259,30259,30259,33417,33417,0,0,0,0,0,0,0,0,0,0,124,4,
apache/commons-math,294589d7b478fe388b9a1c2e28aa37c02cb6fe18,f067b2b4bae9d7690a84cd65bedd45bca5691441,master,1654612742,0,0,0,0,0,0,0,0,0,0,0,0,0,30259,30259,30259,30259,33417,33417,0,0,8,2,0,0,18,105,18,117,316,145,
apache/commons-math,f067b2b4bae9d7690a84cd65bedd45bca5691441,cfb9bda8f8401a9eff45600be971c0dae1082884,master,1649506023,1,0,0,0,1,0,0,0,3,1,0,0,0,30255,30261,30259,30257,33417,33416,0,0,0,2,0,0,0,8,0,1,8,1,
apache/commons-math,cfb9bda8f8401a9eff45600be971c0dae1082884,57dda85533fbac18389a3ddc70e3640aa4484a91,master,1649155059,0,0,0,0,0,0,0,0,1,0,0,0,0,30256,30257,30257,30256,33417,33417,0,0,0,0,0,0,0,0,0,0,2,2,
apache/commons-math,57dda85533fbac18389a3ddc70e3640aa4484a91,c5ea177934387de3b2de813173b78b6debdf149a,master,1646305378,0,0,0,0,0,0,0,0,0,3,0,0,0,30256,30259,30256,30259,33417,33417,0,0,9,2,0,0,21,3,11,2,24,16,
apache/commons-math,c5ea177934387de3b2de813173b78b6debdf149a,645d85a8c749a68e970f25331170faa62c330776,master,1643292574,8,0,101,19,4,1,0,0,2,6,0,0,0,30148,30269,30259,30158,33417,33290,4,1,6,3,1,0,728,151,224,20,1441,251,
apache/commons-math,645d85a8c749a68e970f25331170faa62c330776,49f220cbcb4ed5bfd7f48b5c5e6bc4b26a7d0773,master,1642700647,19,0,0,0,19,0,0,0,4,1,0,0,0,30135,30178,30158,30155,33294,33275,0,0,22,1,0,0,54,1,54,1,55,55,
apache/commons-math,49f220cbcb4ed5bfd7f48b5c5e6bc4b26a7d0773,32c75646baca397ea492834a316b8003a32e124b,master,1642566060,0,0,0,0,0,0,0,0,1,1,0,0,0,30154,30156,30155,30155,33294,33294,0,0,0,0,0,0,0,0,0,0,48,40,
apache/commons-math,32c75646baca397ea492834a316b8003a32e124b,5b291c795051258a455fa65462f35c78f338f7d3,master,1642551141,0,0,0,0,0,0,0,0,1,4,0,0,0,30154,30159,30155,30158,33294,33294,0,0,0,0,0,0,0,0,0,0,0,7,
apache/commons-math,5b291c795051258a455fa65462f35c78f338f7d3,aa58ab0fd6229532ef29302342f9086f5e1a8dc8,master,1642532481,908,65,0,0,1043,59,1504,332,21,114,0,0,0,29229,31321,30158,30392,33294,32377,5,1,213,168,4,1,13667,1576,13580,1837,15860,17087,
apache/commons-math,61cfea92d9dbfd30245260157c6beb303e71baa4,aa58ab0fd6229532ef29302342f9086f5e1a8dc8,master,1642530089,908,65,0,0,1043,59,1504,332,21,117,0,0,0,29226,31321,30155,30392,33294,32377,5,1,213,167,4,1,13667,1570,13580,1821,15854,17071,
apache/commons-math,aa58ab0fd6229532ef29302342f9086f5e1a8dc8,3a5cf279bbeed85a169ba4480b6dea10cb7a7beb,master,1634131247,26,0,0,0,21,0,0,0,3,0,0,0,0,31865,31915,31894,31886,35254,35228,0,0,10,30,0,0,16,62,16,62,88,79,
apache/commons-math,3a5cf279bbeed85a169ba4480b6dea10cb7a7beb,acfc27083412f57a71a497e500070a08a956300d,master,1632697374,3,0,0,0,2,0,0,0,0,1,0,0,0,31883,31889,31886,31886,35249,35246,0,0,1,1,0,0,16,23,23,0,42,23,
apache/commons-math,acfc27083412f57a71a497e500070a08a956300d,470bdbb5f35ddde4935ed32529386f36b656213e,master,1631619284,0,0,0,0,0,0,0,0,0,3,0,0,0,31886,31889,31886,31889,35248,35248,0,0,0,0,0,0,0,0,0,0,1,1,
apache/commons-math,470bdbb5f35ddde4935ed32529386f36b656213e,b22258073795ec34022e75d7d9c583fa41fae4d0,master,1630496200,30,9,0,0,32,9,0,0,2,3,0,0,0,31857,31924,31889,31892,35248,35218,0,0,20,0,0,0,83,0,81,0,85,83,
apache/commons-math,b22258073795ec34022e75d7d9c583fa41fae4d0,f58da4abf50d8ff627cc66dc89ece734ab98a0e5,master,1630460585,1,0,0,0,1,0,0,0,6,3,0,0,0,31883,31894,31890,31887,35248,35247,0,0,2,4,0,2,2,125,137,79,218,263,
apache/commons-math,f58da4abf50d8ff627cc66dc89ece734ab98a0e5,f8d747661445203eec963b79ba7aa5bf182f037a,master,1629936315,29,3,0,0,25,1,0,0,0,3,0,0,0,31858,31916,31887,31887,35248,35218,0,0,3,1,0,0,59,1,43,7,105,85,
apache/commons-math,f8d747661445203eec963b79ba7aa5bf182f037a,47904caeb88bda321e1d45012436bd3175dc1f51,master,1629761323,6,0,0,0,1,0,0,0,3,0,0,0,0,31878,31888,31887,31879,35243,35237,0,0,1,0,0,0,15,0,5,0,21,11,
apache/commons-math,47904caeb88bda321e1d45012436bd3175dc1f51,fb314ef3dfd641eb47431ec3bb5eead4bd354ae7,master,1629700855,8,1,0,0,3,1,0,0,1,1,0,0,0,31870,31883,31879,31874,35238,35229,0,0,2,2,0,0,4,55,4,0,62,7,
apache/commons-math,fb314ef3dfd641eb47431ec3bb5eead4bd354ae7,9bb5791906efcdbb707834570c37ef6a79c797bc,master,1629596785,1,0,0,0,1,0,0,0,1,7,0,0,0,31872,31882,31874,31880,35232,35231,0,0,1,0,0,0,2,0,5,0,2,5,
apache/commons-math,9bb5791906efcdbb707834570c37ef6a79c797bc,f466637d82930c0104c1fd0dcc8e179a4ce9b98a,master,1629595717,0,0,0,0,5,1,0,0,7,0,0,0,0,31873,31885,31880,31878,35232,35233,0,0,1,1,0,0,9,8,34,7,17,41,
