repo,childSha,parentSha,childBranch,file,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/platform_database.py,0,0,0,0,0,0,0,0,0,0,0,0,0,138,138,138,138,138,138
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/__init__.py,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/linux.py,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,74,74,83,83
ARMmbed/mbed-ls,898edd0fd4ce90441bfe58eb8028a11d9a294bf7,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,master,mbed_lstools/main.py,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,135,135
ARMmbed/mbed-ls,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,ff2d04c41b4e68543b56c20cdc253fd85e82501e,master,mbed_lstools/darwin.py,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,85,85,93,93
ARMmbed/mbed-ls,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,ff2d04c41b4e68543b56c20cdc253fd85e82501e,master,mbed_lstools/windows.py,0,0,0,0,0,0,0,0,0,0,0,0,0,216,216,216,216,253,253
ARMmbed/mbed-ls,f3fcc3670a1f174aa2068397364ed695cd3dcf7c,ff2d04c41b4e68543b56c20cdc253fd85e82501e,master,mbed_lstools/lstools_base.py,0,0,0,0,0,0,0,0,0,0,0,0,0,261,261,261,261,354,354
