url,organisation,repository,language,branch
https://github.com/apache/axis-axis2-java-core.git,apache,axis-axis2-java-core,java,master
https://github.com/apache/ws-axiom.git,apache,ws-axiom,java,master
https://github.com/apache/commons-collections.git,apache,commons-collections,java,master
https://github.com/apache/commons-geometry.git,apache,commons-geometry,java,master
https://github.com/apache/commons-lang.git,apache,commons-lang,java,master
https://github.com/apache/commons-numbers.git,apache,commons-numbers,java,master
https://github.com/apache/commons-rng.git,apache,commons-rng,java,master
https://github.com/apache/commons-statistics.git,apache,commons-statistics,java,master
https://github.com/apache/datasketches-java.git,apache,datasketches-java,java,master
https://github.com/apache/dolphinscheduler.git,apache,dolphinscheduler,java,master
