url,organisation,repository,language
https://github.com/apache/commons-collections.git,apache,commons-collections,java
https://github.com/apache/commons-io.git,apache,commons-io,java
https://github.com/apache/commons-math.git,apache,commons-math,java
https://github.com/apache/commons-validator.git,apache,commons-validator,java
https://github.com/ARMmbed/mbed-ls.git,ARMmbed,mbed-ls,java
https://github.com/bitwalker/timex.git,bitwalker,timex,java
https://github.com/broadinstitute/firecloud-orchestration.git,broadinstitute,firecloud-orchestration,java
https://github.com/containers/virtcontainers.git,containers,virtcontainers,java
https://github.com/coreos/alb-ingress-controller.git,coreos,alb-ingress-controller,java
https://github.com/damianszczepanik/cucumber-reporting.git,damianszczepanik,cucumber-reporting,java
https://github.com/dask/dask.git,dask,dask,java
https://github.com/doanduyhai/Achilles.git,doanduyhai,Achilles,java
https://github.com/dropwizard/dropwizard.git,dropwizard,dropwizard,java
https://github.com/F5Networks/k8s-bigip-ctlr.git,F5Networks,k8s-bigip-ctlr,java
https://github.com/Gillespie59/eslint-plugin-angular.git,Gillespie59,eslint-plugin-angular,java
https://github.com/HazyResearch/deepdive.git,HazyResearch,deepdive,java
https://github.com/ikawaha/kagome.git,ikawaha,kagome,java
https://github.com/ilovepi/Compiler.git,ilovepi,Compiler,java
https://github.com/jknack/handlebars.java.git,jknack,handlebars.java,java
https://github.com/joel-costigliola/assertj-core.git,joel-costigliola,assertj-core,java
https://github.com/mailgun/kafka-pixy.git,mailgun,kafka-pixy,java
https://github.com/MITLibraries/topichub.git,MITLibraries,topichub,java
https://github.com/platinumazure/eslint-plugin-qunit.git,platinumazure,eslint-plugin-qunit,java
https://github.com/PragTob/benchee.git,PragTob,benchee,java
https://github.com/ShiftForward/apso.git,ShiftForward,apso,java
https://github.com/spatialmodel/inmap.git,spatialmodel,inmap,java
https://github.com/terasolunaorg/terasoluna-gfw.git,terasolunaorg,terasoluna-gfw,java
